"Building Name",Department,"Number of Floors","Created At"
"Accountancy Building",Accountancy,4,"2025-05-22 20:05:20"
fdsfsd,Accountancy,3,"2025-09-05 18:43:17"
fugf,Accountancy,6,"2025-09-05 18:52:25"
hgdhdg,Accountancy,5,"2025-09-05 18:45:43"
hgh,Accountancy,6,"2025-09-05 18:54:06"
tert,Accountancy,5,"2025-09-05 18:41:28"
testbuilding,Accountancy,3,"2025-09-05 18:40:26"
"testbuilding 34",Accountancy,3,"2025-09-05 19:16:58"
"Sports Complex",Athletics,1,"2025-08-19 05:17:52"
bfgsfg,"Business Administration",4,"2025-09-05 19:01:56"
"Business Administration Complex","Business Administration",5,"2025-05-22 20:05:20"
fdsfsdcv,"Business Administration",5,"2025-09-05 19:04:08"
terfd,"Business Administration",3,"2025-09-05 18:53:14"
terthgfh,"Business Administration",3,"2025-09-05 18:44:52"
uyu,"Business Administration",6,"2025-09-05 18:49:43"
"Criminal Justice Building","Criminal Justice",3,"2025-05-22 20:05:20"
gdfgdf,"Criminal Justice",4,"2025-09-05 18:55:16"
ggdfgdfg,"Criminal Justice",5,"2025-09-05 20:08:37"
"Education and Arts Building","Education and Arts",4,"2025-05-22 20:05:20"
gyudgfd,"Education and Arts",5,"2025-09-05 18:47:07"
tsdtt67,"Education and Arts",6,"2025-09-05 19:09:30"
"hfghftgh 56","Hospitality Management",3,"2025-09-05 20:00:59"
"Hospitality Management Building","Hospitality Management",3,"2025-05-22 20:05:20"
"testbuilding 6","Hospitality Management",5,"2025-09-05 18:58:01"
